NAME,Search Engines and Resources,WEB,Special Sports,Percentage in the Business,Mission Statement,City and State,Sstate,Address,EIN,Bridge Number,Gross Receipts,Assets,Funded Year,CEO or Principal Officer,Gender of Leadership,Cause Area,NTEE Code,IRS Filing Requirement,IRS Subsection
DELTA SCULLING CENTER-EVERYBODY SCULLS INC,,https://www.deltasculling.org/,Scull,3,"Delta Sculling Center provides access to fitness, health, leisure and recreation for people of all abilities through the inclusive sport of sculling (i.e. rowing). We adapt our boats and equipment to fit the needs of individuals so that everyone can participate. So even if people have physical, cognitive or sensory/perceptual challenges, they should be able to find freedom on the water. We want to support everyone, no matter what motivation brings them to us, for example, those who want to become more fit, regain/improve health, find a new sport, enjoy the Delta, train for competition, improve their sculling technique, or find an adaptive sport.","Stockton, CA",CA,"4950 Buckley Cove Way, Stockton, CA 95219",46-2888292,17005954,"$139,575 ","$137,887 ",2014,Patricia Tirone,,"Other Recreation, Sports, or Leisure Activities N.E.C.; Health - General and Rehabilitative N.E.C.; Youth Development Programs",N99; E99; O50,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Diablos Outsport Association,,www.diablosoutsports.com,,3,"To promote and educate the public about amateur athletics in the greater San Antonio area, especially to persons or groups who are traditionally under-represented including members of the lesbian, gay, bisexual, transgender & questioning (LGBTQ) community.","San Antonio, TX",TX,"200 Concord Plaza Dr Ste 425, San Antonio, TX 78216",46-1209139,1894325223,,,2014,Pablo Cruz,,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
"DOUBLE ROCK COMMUNITY SERVICES CENTER OF COMPTON CALIFORNIA, INC.",,,Basketball,,"Double Rock Community Services Center of Compton California, Inc., founded in 1997, was developed after a two-story structure was built by Dr. Joseph Holmes called ""The Joseph L. Holmes Pavilion"". The purpose of the organization is to use the structure as a much needed community center on the west side of Compton, California. Currently, it is the only community center on that side of town. Due to gang violence, unemployment, lack of quality education, lack of cultural arts opportunities many of the youth in the area are without necessary resources to become productive citizens that are able to contribute to society and to the economy. The Center's goal and mission is to provide the necessary resources and services that will bridge the gap between their current condition and a successful and self-sufficient future.","Compton, CA",CA,"950 S Central Ave, Compton, CA 90220",95-4603436,1865681340,,,1997,Joseph Holmes,,"Cultural, Ethnic Awareness; Food Banks, Food Pantries; Basketball",A23; K31; N62,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
East Montgomery County Sports Association,,www.emcsports.org,Baseball; Softball; Basketball; Football; Swim,3,"EMCSA is dedicated to developing children and youth into quality young men and women through youth sports. It focuses on exceptional skill development, enriched teaching from experienced coaches, and real life sports play.","New Caney, TX",TX,"PO BOX 1508, New Caney, TX 77357",76-0242183,5075487798,"$403,135 ","$71,960 ",1989,Eric Hays,,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Fargo Moorhead Derby Girls,Guide Star (Women Sports),http://fmderbygirls.com/,Roller Derby,1,"The Fargo Moorhead Derby Girls is dedicated to developing, promoting, and sustaining the competitive sport of roller derby. Our vision is to advance the sport of women's flat track roller derby in North Dakota and beyond. Our core values consist of the empowerment of women, diversity, community, democracy, and excellence.","Fargo, ND",ND,"PO Box 10644, Fargo, ND 58106",45-2592330,,,,2018,Jenna Wynia,Female,Amateur Sports Competitions,N70,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Feminist Majority Foundation,,WWW.FEMINIST.ORG,,2,"The Feminist Majority Foundation (FMF) was created to develop bold, new strategies and programs to advance women's equality, non-violence, economic development, and, most importantly, empowerment of women and girls in all sectors of society. All programs of the FMF endeavor to include a global perspective and activities to promote leadership development, especially among young women. Along with reproductive rights and access to reproductive technology, the FMF's programs have focused on the empowerment of women in law, business, medicine, academia, sports, and the Internet.","Beverly Hills, CA",CA,"433 S beverly Dr, Beverly Hills, CA 90212",54-1426440,4758294775,"$6,495,260 ","$3,744,647 ",1988,Eleanor Smeal,,Nonmonetary Support N.E.C.,V19,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Five Starz Volleyabll Club,,www.fivestarzvolleyball.com,Volleyball,1,"The organization provided and promoted a competitive volleyball sports experience for young women in the Davis, CA area. The program promotes the development of personal/team skills and sportsmanship.","Davis, CA",CA,"PO BOX 72714, Davis,CA 95617",68-0143435,7640601618,"$212,210 ","$64,083 ",1994,Liz Towne-Gilbert,,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Fort Her-icanes Girls Softball,Guide Star (Women Sports),,Softball,1,Advancing young women through sport.,"Fort Defiance, VA",VA,"116 Bailey Rd, Fort Defiance, VA 24437",46-4484321,,,,2018,William Vandevander,Male,"Other Recreation, Sports, or Leisure Activities N.E.C.",N99,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Free to Run Inc,,www.freetorun.org,Running; Fitness,1,"Free to Run's mission is to use running, fitness and adventure to empower and educate women and girls from conflict-affected communities. The ability to participate in physical fitness and outdoor adventure is related to important human rights and fundamental freedoms, including the right to health and freedom of movement. ","New York, NY",NY,"PO BOX 20230 1483 York Ave, New York, NY 10021",47-2766786,2477975827,"$117,447 ","$72,675 ",2015,Stephanie Case,,"Women's Rights; Other Recreation, Sports, or Leisure Activities N.E.C.; Leadership Development",R24; N99; W70,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Fremont Girls Sports Asso,Guide Star (Girls Sports),,Softball,1,,"Fremont, CA",CA,"PO Box 6099 Fremont, CA 94538",94-2448880,7564872094,"$62,066 ","$135,700 ",2017,,,"Baseball, Softball (includes Little Leagues)",N63,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
"G.I.R.L.S. Sports Foundation, Inc.",Guide Star (Women Sports),http://www.gsfwny.org,,1,"GSF serves underserved girls ages 4 to 18 from some of the most poverty stricken communities in the City of Buffalo. We reach out to the girls through sporting events such as basketball clinics, sports lessons, educational fairs, and/or other activities meant to reach their immediate needs. Additionally we have educational workshops, field trips, mentoring sessions and other community based learning activities.","Buffalo, NY",NY,"165 Blaine Ave., Buffalo, NY 14208",27-0992022,662752409,,,2011,Cecelie Owens,,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Get in the Game Sports for Women,Guide Star (Women Sports),www.getinthegamehoops.org,Basketball,1,,"Tarzana, CA",CA,"18321 VENTURA BLVD, TARZANA, CA 91356",39-2052707,4911865550,,,2007,LINDSAY C AMSTUTZ,,Basketball,N62,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Girl Power 2 Cure Inc.,,www.girlpower2cure.org,,2,"Girl Power 2 Cure is a dedicated and vibrant nonprofit organization leading a movement to end Rett Syndrome, a severe neurological disorder that primarily affects girls. We are here to respond to the urgent need for support, education, mainstream awareness and treatments.","Amelia Island, FL",FL,"1881 S. 14th Street #1, Amelia Island, FL 32034",20-8011668,6281124744,"$1,058,838 ","$273,807 ",2006,AMY GILLILAND,Female,Brain Disorders,G48,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Girls Inc.,,http://www.girlsinc.org,,2,"In partnership with schools and at Girls Inc. centers, we focus on the development of the whole girl. She learns to value herself, take risks, and discover and develop her inherent strengths. The combination of long-lasting mentoring relationships, a pro-girl environment, and research-based programming equips girls to navigate gender, economic, and social barriers, and grow up healthy, educated, and independent. Informed by girls and their families, we also advocate for legislation and policies to increase opportunities and rights for all girls","New York, NY",NY,"120 Wall St 18th Floor, New York, NY 10005",13-1915124,1441937373,"$27,055,382 ","$41,402,807 ",1948,Susie A. Buffett,Female,Girls Clubs,O22,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
GIRLS INCORPORATED OF ALAMEDA COUNTY,,www.girlsinc-alameda.org,,2,"Girls Inc. of Alameda County's model creates opportunities for success. We equip girls to defy limitations and stereotypes, attend college, break the cycle of poverty, and move into a thriving future. Our research-based programming supports girls at every stage of their development. We focus on the whole girl: her health and well-being, education, and development as a leader.","Oakland, CA",CA,"510 16th Street, Oakland, CA 94612",94-1558073,2554773772,"$6,151,327 ","$14,751,974 ",1964,Julayne Virgil,Female,Girls Clubs; Youth Community Service Clubs; Children's and Youth Services,O22; O51; P30,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Girls Incorporated of Lynn,,www.girlsinclynn.org,,2,"Girls Inc. is a vigorous advocate for all girls.  We work with our policy makers at the local, state and national level to keep them informed about girls_a_ needs and ways to improve the lives of girls and young women.  We also educate the media about critical issues facing girls.  Our teen members learn how to advocate for themselves and proudly testify at local and state public hearings on key issues impacting their lives, families, and neighborhoods using their voices to impact positive change.","Lynn, MA",MA,"50 High Street, Lynn, MA 01902",04-2104250,5219447106,"$3,149,876 ","$3,604,871 ",1953,Deb Ansourlian,Female,Girls Clubs; Other Youth Development N.E.C.; Children's and Youth Services,O22; O99; P30,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Girls Incorporated of Santa Fe Inc.,,www.girlsincofsantafe.org,,2,"At Girls Inc., girls learn to set and achieve goals, boldly confront challenges, resist peer pressure, and see college as attainable. Our programming focuses on healthy living (Strong); academic enrichment and support (Smart); and life skills and independence (Bold).","Santa Fe, NM",NM,"301 Hillside Ave, Santa Fe, NM 87501",85-0129250,7607432807,"$897,670 ","$590,602 ",1957,Kim Brown,Female,Girls Clubs,O22,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Girls on the Run,Guide Star (Women Sports),https://www.girlsontherun.org,Run,1,"We inspire girls to be joyful, healthy and confident using a fun, experience-based curriculum which creatively integrates running.","Charlotte, NC",NC,"801 E Morehead St. Suite 201, Charlotte, NC 28202",56-2201835,2282741705,"$4,859,295 ","$4,569,961 ",2000,Elizabeth Kunz,Female,Youth Development Programs,O50,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Girls Play Sports,Guide Star (Women Sports),http://www.teamgps.org,General Sports,1,Girls Play Sports is dedicated to fostering leadership skills and confidence in girls through their participation in a wide variety of sports.,"Evanston, IL",IL,"3536 Hillside Rd, Evanston, IL 60201",47-1837292,6502169910,"$91,032 ","$36,254 ",2015,Chris Livatino,Male,"Youth Development Programs; Girls Clubs; Other Recreation, Sports, or Leisure Activities N.E.C.",O50; O22; N99,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
GirlsUP Inc.,Guide Star (Women Sports),http://girlsup.org/,,2,"The GirlsUP summer program inspires girls to develop real character, genuine confidence and core life skills through an innovative journey toward self-discovery.","Chevy Chase, MD",MD,"3909 Leland St., Chevy Chase, MD 20815",27-2394086,5130393522,,,2010,John J Murray,Male,Girls Clubs,O22,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Goals for Life Inc.,Guide Star (Women Sports),www.goalsforlife.org,soccer,1,Goals For Life is dedicated to supporting worthy causes dir-ectly affecting women and their families through events and activities inspired by the camaraderie and inner strength of women's sports.,"Upr Montclair, NJ",NJ,"Po Box 43265, Upr Montclair, NJ 07043",22-3777822,7188863910,,,2001,Ellen S. Paretti,,Soccer Clubs/Leagues,N64,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Great Lakes Adaptive Sports Association,,www.glasa.org,,4,"Great Lakes Adaptive Sports Association (GLASA) strives to  Let No One Sit on the Sidelines and operates under a mission to promote and support the optimal development and well-being of youth, adults and military veterans who have a physical or visual disability through the provision of inclusive recreation, fitness and competitive sports activities. GLASA offers opportunities for empowerment through education, leadership and training in collaboration with community-based organizations.","Lake Forest, IL",IL,"27864 Irma Lee Circle Unit 101, LakeForest, IL 60045",36-4285965,7775216281,"$1,153,425 ","$509,099 ",1999,Cindy Housner,,"Health Support Services; Nerve, Muscle and Bone Diseases",E50; G40,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Greater Los Angeles Softball Association,,GLASASOFTBALL.ORG,Softball,3,"As the league continues to look ahead, we honor our past by creating a Hall of Fame to recognize all the players, coaches, managers and sponsors who have meant so much in the formation and growth of the league. We invite you to be a part of the future.","West Hollywood, CA",CA,"1049 Havenhurst Drive NO 321, West Hollywood, CA 90046",95-3643992,8351333874,"$272,712 ","$159,581 ",1977,Paul McDaniel,,Amateur Sports Competitions,N70,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Greensboro Roller Derby,Guide Star (Women Sports),www.greensbororollerderby.com,,1,Greensboro Roller Derby (GSORD) is a 501(c)(3) non-profit corporation whose objectives are to engage women in the sport of roller derby in a positive environment and to foster national and international amateur sports competition.,"Greensboro, NC",NC,"3123-I Cedar Park Rd, Greensboro, NC 27405",27-3001634,7232305396,,,2010,Kelsey Hausler,,Amateur Sports Competitions,N70,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Healthworks Community Fitness,,www.healthworkscommunityfitness.org,,2,"Healthworks Community Fitness is dedicated to providing high-quality fitness opportunities for women and children in low-income neighborhoods in order to prevent and treat chronic diseases, improve health and fitness, and promote well-being and empowerment.","Dorchester, MA",MA,"450 Washington Street, Dorchester, MA 02124",04-3431534,1797081685,"$239,588 ","$315,122 ",1977,Gibbs Jennifer Saunders,Female,Public Health Program,E70,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
"Heroes Honored, Inc.",Guide Star (Women Sports),www.heroeshonoredinc.com,,4,We are dedicated to the active and veteran members of our Armed Forces who serve and sacrifice for our country.  We provide items to deployed military that increase morale and contribute to their well being.  We memorialize our veterans to ensure that they are never forgotten.,"Canton, OH",OH,"2615 Jaguar St NE, Canton, OH 44721",82-0655152,6868204246,,,2017,Thomas Wolf,Male,"Civil Rights, Advocacy for Specific Group",R20,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Heros Tournament Lacrosse Club Inc.,Guide Star (Women Sports),,lacrosse,1,,"Ellicott City, MD",MD,"P.O. BOX 6653, Ellicott City, MD 21042",43-1950765,3105306620,,,2004,Tierney Ahearn,,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Homestretch Foundation,,www.homestretchfoundation.org,,1,"The Homestretch Foundation is a non-profit organization that provides temporary housing and other resources to professional or elite athletes ""primarily female athletes"" who face financial and economic discrepancies.","Tucson, AZ",AZ,"8987 E Tanque Verde Rd Suite 309-902, Tucson, AZ 85749",81-2843454,1481993930,,,2017,Kathryn Bertine,Female,Women's Rights; Other Housing Support Services; Fund Raising and /or Fund Distribution,R24; L80; J12,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Hope Network,,www.hopenetwork.org,,3,"We are advocates for people who suffer from physical, mental, and social barriers that impact their daily life. With experts across Michigan, we help them overcome, so they can live their best life possible.","Grand Rapids, MI",MI,"PO BOX 890, Grand Rapids, MI 49518",38-6108186,7121414539,"$13,094,752 ","$14,158,584 ",2011,Phillip Weaver,Male,Health - General and Rehabilitative N.E.C.; Mental Health Treatment; Human Service Organizatoins,E99; F30; P20,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Howe Foundation,Guide Star (Women Sports),https://www.legacyglobalsports.com/howe-foundation/,hockey,3,"The Howe Foundation was founded by Mrs. Hockey Colleen Howe. Her vision and mission was to help those in need and allow them to be able to enjoy, participate and learn about the great sport of hockey. The Howe Foundation is committed to enriching the lives of those who would otherwise not be able to share and experience the great world of sports.","Muscatine, IA",IA,"101 West Mississippi Drive, Muscatine, IA 52761",42-1395312,6773666297,"$9,135,317 ","$6,657,154 ",1993,Colleen Howe,Female,Private Grantmaking Foundations,T20,990-PF,501(c)(3) Private Nonoperating Foundation
,,,,,,,,,,,,,,,,,,,
Humanitarian Organization for Physical Education inc,,www.hopegymnastics.org,Gymnastics,1,"nurture young girls and help them blossom into strong, graceful women with a positive self-image through the beauty and discipline of Rhythmic Gymnastics.","Riverside, CT",CT,"29 Wesskum Wood Rd, Riverside, CT 06878",81-4169941,488534428,,,2016,Bibiana Pinto,Female,"Youth Centers, Clubs, (includes Boys/Girls Clubs) - Multipurpose",O20,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Humboldt Roller Derby,,HTTP://HUMBOLDTROLLERDERBY.COM,Roller Derby,1,"TO PROVIDE THE EXEMPT ORGANIZATION'S MEMBERS, FANS AND VOLUNTEERS A COMPETITIVE, FAMILY-FRIENDLY SPORTING EXPERIENCE AT BOTH THE NATIONAL AND INTERNATIONAL LEVEL IN THE FULL CONTACT SPORT OF ROLLER DERBY BY EMPOWERING WOMEN AND JUNIORS WHILE GIVING BACK TO THE LOCAL COMMUNITY.","Eureka, CA",CA,"PO BOX 6238, Eureka, CA 95502",27-0261205,8063952232,"$165,835 ","$195,703 ",2014,Humboldt Roller Derby,,Amateur Sports Competitions,N70,990 or 990-EZ,501(c)(4) Civic Leagues and Social Welfare Organizations
,,,,,,,,,,,,,,,,,,,
Inclusive For Women Inc.,Guide Star (Women Sports),www.womenoftoledo.org,,2,serving the Greater Toledo community that advocate for diversity and economic empowerment. This grassroots educational organization has a very diverse group of women leaders committed to bringing together young girls and women to learn from and about each other.,"Toledo, OH",OH,"425 Jefferson Street 3rd Floor, Toledo, OH 43604",47-3035322,7123679351,,,2014,Nina Corder,Female,"Alliance/Advocacy Organizations; Profeesional Societies, Associations; Educational Services and Schools - Other",S01; O03; B90,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
INOBTR,,www.inobtr.org,,4,"Founded in 2007, INOBTR continues its mission to protect children and keep their families safe through proactive education and public awareness. INOBTR's strength in marketing, communications and promotion has elevated the organizations work from the state of Missouri to nationally creating campaigns for the US Department of Justice Office of Juvenile Justice and Delinquency Prevention. The organization educates on a variety of children and youth safety topics including:  Cell Phone Safety for children ages 8 and up; Child Abuse and Neglect; Child Sexual Abuse; Cyberbullying; Impact of Domestic Violence on Children; Internet Safety; Teen Dating Violence; and Youth in Crisis. INOBTR works in partnership with government and non-profit organizations to bring prevention education and action to the community level.","Saint Louis, MO",MO,"190 Carondelet Plz Ste 1111, Saint Louis, MO 63105",20-8092147,5433752643,"$21,278 ","$83,721 ",2007,Cindy Schroeder,Female,"Sexual Abuse, Prevention of",I73,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Ironclad Volleyball Club,,www.IroncladVolleyballClub.com,volleyball,1,Ironclad Volleyball Club (IVC) is a non-profit organization that is committed to providing affordable competitive athletic opportunities and educational support to the young women in the San Gabriel Valley area.,"Azusa, CA",CA,"442 S Enid Ave, Azusa,CA 91702",47-4244134,2344608227,,,2017,Shante Ramires,,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Jet City Rollergirls,,www.jetcityrollergirls.com/,Roller Derby,1,"JCRG promotes sportswomanship and athleticism by providing training, instruction, and competition in the sport of roller derby.","Everett, WA",WA,"PO BOX 3401, Everett, WA 98213",26-2872486,310611825,"$95,045 ","$128,587 ",2009,Elaine Helm,Female,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Kenilworth Girls Sports Foundation,Guide Star (Girls Sports),,,1,,"Mesa, AZ",AZ,"145 E University Dr Ste 5 Mesa, AZ 85201",26-3254406,6412574163,,,2009,Mike Powell,Male,Fund Raising and/or Fund Distribution,N12,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Kick For Nick Inc,,www.KickForNick.org,soccer,3,"The Kick for Nick Foundation's mission is to perpetuate Nick Madara's dream of fostering goodwill and peace through the sport of soccer by collecting soccer balls and delivering them into the hands of less fortunate children around the world. Through the PFC Nicholas A. Madaras Home we will foster the efforts of our female Veterans transitioning from military to civilian life with housing and other assistance","Wilton, CT",CT,"35 Signal Hill Rd, Wilton, CT 06897",74-3255044,1202564247,"$45,914 ","$92,935 ",2008,William John Madaras,,International Cultural Exchange,Q21,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
KidSafe Foundation,,www.kidsafefoundation.org,,4,"Our mission is to provide preventive education to children and adults, empowering them with skills that create a safe society free from sexual abuse, bullying, and internet exploitation.","Boca Raton, FL",FL,"20283 state road 7 #300 - suite 106, Boca Raton, FL 33498",27-1067698,1662347734,"$545,165 ","$436,462 ",2010,Sally Berenzweig,Female,Primary/Elementary Schools; Parent Teacher Group; University or Technological,B24; B94; B43,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Komera,,www.komera.org,,2,"Komera develops self-confident young women through education, community and sport.","Jamaica Plain, MA",MA,"PO BOX 1491, Jamaica Plain, MA 02130",27-1581674,1800681721,"$451,005 ","$391,294 ",2010,Margaret Butler,,"Youth Development Programs; Employment Training; Coummunity, Neighborhood Development, Improvement",O50; J22; S20,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Lacrosse Outreach Foundation,,https://www.lacrosseoutreach.org/,lacrosse,3,"TO PROMOTE OPPORTUNITIES FOR YOUNG MEN AND WOMEN TO PARTICIPATE IN THE SPORT OF LACROSSE IN A MEANINGFUL AND ENRICHING WAY THROUGHOUT JEFFERSON COUNTY, COLORADO.","Littleton, CO",CO,"4189 W Bowles Ave, Littleton, CO 80123",84-1254485,7549483715,"$214,565 ","$14,667 ",1994,,,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Lakeville Softball Fund Corp,,www.lakevilleyouthsoftball.com,softball,3,The Lakeville Softball Fund provides funding and support for a girls youth softball program. We strive to use sports participation as a building block for future strong women.,"Lakeville, MA",MA,"17 Island Rd, Lakeville, MA 02347",46-2402313,4929152850,,,2014,Mike Levrault,,"Baseball, Softball (includes Little Leagues)",N63,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Legendz Sports Academy Inc,,www.legendzsportsacademy.org,,3,"Legendz Sports Academy is a 501(c)(3) Non-Profit Corporation committed to providing a quality athletic experience to young men and women with an emphasis on developing their sport specific fundamentals, sportsmanship, discipline, and a will to compete. Our coaches teach life lesson to our players through athletics, and they strive to teach what every player needs to know to compete in life and in athletics at every level in today's competitive environment. Please surf our website to learn more about Legendz and our program.","Zachary, LA",LA,"PO BOX 1608, Zachary, LA 70791",27-3666496,7627471669,,,2012,Todd Hernandez,Male,Public Foundations,T30,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Maine Roller Derby,,www.mainerollerderby.com,Track Derby,1,"Maine Roller Derby's mission is to foster the professional, personal, and athletic skill development of our league members by maintaining a competitive athletic program in WFTDA, promoting the sport of roller derby, and making a positive impact in our community.","Portland, ME",ME,"Po Box 8413, Portland, ME 04104 USA",38-3951960,4991330252,,,2015,Bobbi Brewer,Male,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Marie Ferdinand Foundation,,,Basketball,1,Utilize programs through life skills and the sport of basketball to transform and teach girls and young women how to win in life and reach their full potential.,"Converse, TX",TX,"Po Box 792, Converse, TX 78109 USA",27-3813090,7248902244,,,2011,Marie Ferdinand,Female,Youth Development Programs,O50,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Mia Hamm Foundation,,,,1,"The Mia Hamm Foundation is a non-profit, national organization dedicated y\to raising funds and awareness for families in need of a bone marrow or cord blood transplant and the development of more opportunities for young women to pratice in sports.","Durham, NC",NC,"5315 Highgate Dr Ste 204, Durham, NC 27713",56-2132365,3880121735,,,1999,MICHELLE BRUNNER,Female,Private Grantmaking Foundations,T20,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Mid-America Intercollegiate Athletics Association,Guide Star (Women Sports),WWW.THEMIAA.COM,,3,,"Kansas City, MO",MO,"1627 Main Street, Kansas City, MO 64108",45-3587640,8530155820,,,2013,,,Sports Traning Facilities,N40,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Midway Sports Association Inc,,softball,,1,To promote women's athelete through organized sports & training programs.,"Hockessin, DE",DE,"Po Box 417, Hockessin , DE 19707",51-0314300,8048620615,,,1990,Lori Conaty,,Sports Training Facilities,N40,991 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Mission City Roller Derby,,www.brawlinbetties.com,roller derby,1,"Mission City Roller Derby (MCRD) is dedicated to contributing to the personal health and wellness of all participants. We provide a positive and safe environment for skaters of all backgrounds to learn, increase self-confidence, leadership and experience overall growth. Through training, skating instruction, and competition in the sport of roller derby we promote: athleticism, community service, camaraderie and sportsmanship.","Santa Barbara, CA",CA,"PO Box 30993, Santa Barbara, CA 93130 USA",46-2513366,4847702379,,,2013,Sarah Bacon,Female,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Mississippi Brawl Stars,,www.mississippibrawlstars.com,Track Roller,1,"The Corporation is organized and shall be operated exclusively for the purposes of a qualified amateur sports organization within the meaning of section 501(c)(3) of the Internal Revenue Code, as may be amended from time to time. The specific objective purposes of this corporation shall be: (a) to promote the sport of women's roller derby fostering local, state, national and international amateur sports competition; and (b) to provide the skills and training necessary for participation in local, state, national and international competition.","Starkville, MS",MS,"Po Box 1691, Starkville, MS 39760 USA",46-1775176,,,,2017,Christie Sims,,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
National Alliance of Social Workers in Sports,,https://www.naswis.org/,,3,"The mission of the Alliance of Social Workers in Sports is to promote individual and community well-being through partnerships between the profession of social work and the field of athletics. We focus on partnerships in practice, research, and policy, with involvement and awareness in all areas where social work and sports systems intersect.","SAN ANTONIO, TX",TX,"592664, SAN ANTONIO, TX 78259",81-3890412,1685396668,,,2017,,,Professional Societies & Associations,F03,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
"National Capital Area Council, Boy Scouts of America",Guide Star (Women Sports),www.NCACBSA.org,,4,"As an alumni association, our mission is to support Eagle Scouts in the national capital region, and thus facilitate their support of scouting.  We tend to connect through social networking events in the region, but we also organize meaningful opportunities to contribute to scouting, our communities, and the Nation.","Bethesda, MD",MD,"9190 Rockville Pike, Bethesda, MD 20814",53-0204610,7113933062,,,1965,Les Baron,Male,Boy Scouts; Citizen Participation; Recreational and Sporting Camps,O41; W24; N20,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
National Coalition Against Violent Athletes,,www.ncava.org,,3,"Started by Katherine Redmond in 1997 after the conclusion of her Title IX lawsuit against the University of Nebraska, the NCAVA was formed to address toxic sports culture and empower survivors to come forward. ","Castle Rock , CO",CO,"4527 N Foxtail Dr, Castle Rock , CO 80109",31-1595882,6365510198,,,1997,Sarah K Redmond,,"Civil Rights, Advocacy for Specific Groups",R20,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
